name,id,creativity,financial,publisher,team,score,business,management-feature,management-people,production
Skittleball,136,TRUE,TRUE,TRUE,NA,42,0,0,2,3
NFL RUSH Heroes and Rivals,94,NA,FALSE,TRUE,NA,42,0,1,1,2
Music Up,89,TRUE,FALSE,TRUE,NA,42,0,3,0,1
Amazia,5,TRUE,TRUE,TRUE,NA,42,2,0,2,1
Knightly Adventure,73,NA,TRUE,TRUE,NA,45,1,0,1,3
Guns of Icarus,62,FALSE,TRUE,TRUE,NA,47,0,0,0,0
Tower Bloxx,181,TRUE,TRUE,TRUE,NA,62,0,1,1,1
Conduit,27,TRUE,FALSE,FALSE,NA,64,0,0,0,0
Crazy Taxi Fare Wars,29,FALSE,FALSE,FALSE,NA,64,0,1,2,1
"Slow Down, Bull",137,TRUE,TRUE,TRUE,NA,65,0,1,1,4
Middle-earth: Shadow of Mordor,84,FALSE,FALSE,FALSE,NA,68,0,3,1,0
Tasmanian Tiger 2,162,NA,FALSE,FALSE,NA,68,0,0,0,2
Ashes of the Singularity,8,TRUE,TRUE,FALSE,NA,69,1,2,1,1
MotoGp '07,88,NA,FALSE,FALSE,NA,70,0,0,0,0
City Conquest,25,FALSE,TRUE,TRUE,NA,70,2,0,1,2
Amnesia: A Machine for Pigs,6,NA,TRUE,FALSE,NA,72,1,0,2,5
Zoo Tycoon 2 Marine mania,200,NA,TRUE,FALSE,NA,74,0,0,0,0
Chili Con Carnage,23,NA,NA,FALSE,NA,74,0,1,0,2
Offworld Trading Company,99,NA,TRUE,FALSE,NA,78,2,0,0,3
The Blackwell Convergence,166,TRUE,TRUE,TRUE,NA,79,2,1,2,1
God of War Ascension,59,FALSE,FALSE,TRUE,NA,80,0,0,0,0
MotoGP '06,87,NA,FALSE,FALSE,NA,80,0,0,0,0
Hero-U: Rogue to Redemption,66,FALSE,FALSE,TRUE,NA,80,2,2,0,1
Kingdoms of Amalur: Reckoning,71,FALSE,TRUE,FALSE,NA,81,0,2,2,3
Dark sun online crimson sands,33,FALSE,FALSE,TRUE,NA,82,0,0,0,0
Ori and the Blind Forest,102,NA,NA,FALSE,NA,88,0,0,1,0
Project Gotham Racing 3,108,NA,FALSE,FALSE,NA,88,0,0,1,3
Baldur's Gate 2,10,NA,FALSE,FALSE,NA,95,0,0,0,0
Resident Evil 4,118,TRUE,FALSE,TRUE,NA,96,0,0,0,2
Tony Hawk's pro skater (port),177,FALSE,FALSE,FALSE,NA,97,0,0,0,0
Bioshock,14,TRUE,TRUE,TRUE,239,96,0,1,1,3
Deadliest Warrior,37,NA,TRUE,FALSE,190,61,1,1,1,2
Timeshift,174,NA,FALSE,FALSE,142,70,0,0,0,0
Matt Hazard,82,NA,TRUE,FALSE,123,64,0,0,0,0
Tomb Raider Underworld,176,FALSE,FALSE,FALSE,99,72,0,0,0,0
Tom Clancy Splinter Cell,175,TRUE,TRUE,TRUE,94,89,0,0,0,0
Brutal Legend,19,FALSE,FALSE,FALSE,83,83,0,0,0,0
Indigo Prophecy,67,NA,TRUE,FALSE,80,84,0,0,1,3
Uncharted Drakes Fortune,188,FALSE,FALSE,FALSE,76,88,0,1,1,3
Call of Duty 2,20,FALSE,FALSE,FALSE,75,88,0,0,2,1
Neverwinter Nights,93,FALSE,TRUE,FALSE,75,91,0,2,0,5
The suffering,171,NA,FALSE,FALSE,72,79,0,0,0,0
Crackdown,28,NA,TRUE,FALSE,71,83,0,2,2,2
Lords of the Fallen,77,NA,NA,FALSE,65,71,0,1,2,2
Scooby-Doo First frights,129,NA,TRUE,FALSE,64,74,0,0,0,0
Okamiden,100,NA,TRUE,TRUE,59,82,1,1,2,2
Uncharted: Golden Abyss,189,FALSE,FALSE,TRUE,55,80,0,2,2,2
Dust: An Elysian Tale,46,TRUE,TRUE,FALSE,55,83,0,0,0,0
Scarface: The World is Yours,127,NA,TRUE,FALSE,54,75,0,0,0,0
Rollers of the realm,124,FALSE,TRUE,FALSE,52,65,0,0,0,0
Tropico 5,187,NA,FALSE,FALSE,50,74,0,0,0,4
Warhammer: End Times - Vermintide,193,TRUE,TRUE,TRUE,50,76,0,0,0,0
Gabriel Knight 3,52,NA,TRUE,TRUE,48,80,0,2,2,2
Dead Head Fred,35,NA,FALSE,FALSE,45,75,1,1,2,2
Rise of Nations,120,NA,TRUE,FALSE,42,89,0,0,1,2
The x-files,172,NA,FALSE,FALSE,41,56,0,0,0,0
Ratchet & Clank,112,FALSE,FALSE,FALSE,41,85,0,3,2,2
Big Mutha Truckers,12,NA,FALSE,FALSE,40,61,0,1,1,2
Star Wars Starfighter,151,TRUE,TRUE,TRUE,40,84,0,1,1,2
Command and Conquer: Tiberian Sun,26,NA,TRUE,FALSE,40,86,0,3,1,2
Diablo 2,41,TRUE,TRUE,TRUE,40,88,0,0,0,0
Age of Empires 2: Age of Kings,4,FALSE,FALSE,FALSE,40,92,0,0,0,0
Trespasser,183,FALSE,FALSE,FALSE,39,72,0,0,0,3
Sanitarium,126,FALSE,TRUE,FALSE,37,86,0,1,1,2
A Boy and His Blob,1,NA,TRUE,FALSE,35,80,0,1,2,4
Jak And Daxter: The Precursor Legacy,68,FALSE,FALSE,FALSE,35,90,0,0,0,0
Star trek voyager elite force,148,FALSE,FALSE,FALSE,33,69,0,0,0,0
Heretic II,65,NA,TRUE,FALSE,32,70,1,0,0,3
Lost Within,78,TRUE,TRUE,TRUE,32,79,0,0,0,4
Dungeon Siege,45,NA,FALSE,FALSE,32,86,0,1,2,2
Star Wars Rogue Leader,150,FALSE,FALSE,FALSE,32,90,0,0,0,0
Dark age of camelot,32,FALSE,TRUE,FALSE,30,88,0,0,0,0
System Shock 2,161,NA,FALSE,FALSE,30,92,0,1,3,4
Cel Damage,22,FALSE,FALSE,FALSE,28,65,0,1,1,4
Black and White,16,FALSE,TRUE,FALSE,28,90,0,0,0,0
Vanishing Point,192,TRUE,TRUE,TRUE,27,68,0,0,4,3
Fallout Tactics,48,FALSE,FALSE,FALSE,27,82,0,2,2,4
Bionic Commando Rearmed,13,NA,TRUE,FALSE,27,86,1,2,0,2
Jurassic Park: Operation Genesis,70,NA,FALSE,FALSE,26,74,0,2,0,3
Tron 2,185,FALSE,TRUE,FALSE,26,84,0,0,0,0
Republique,116,TRUE,TRUE,FALSE,25,74,0,2,2,4
Drakan: Order of the Flame,44,FALSE,FALSE,FALSE,25,88,0,1,0,3
Never Alone,92,NA,TRUE,TRUE,24,70,0,2,0,1
A kingdom for keflings,2,TRUE,TRUE,TRUE,24,78,0,0,0,0
Shadow Tactics Blades of the Shogun,131,TRUE,TRUE,FALSE,23,85,0,0,0,0
Rainbow Six,111,NA,TRUE,TRUE,22,85,0,0,1,3
Startopia,152,NA,FALSE,FALSE,21,86,1,0,0,4
Star trek hidden evil,147,FALSE,FALSE,FALSE,21,92,0,0,0,0
Last Call,74,FALSE,TRUE,TRUE,20,70,0,3,1,0
